序号,日语词汇,假名,词性,陌生程度,翻译,
506,似合う,にあう,自動詞,9,合适,
507,合う,あう,自動詞,9,匹配,
508,相応しい,ふさわしい,形容詞,9,适合,
509,がっちり,がっちり,副詞/サ変,9,牢固，坚固；紧紧地,
510,曾て,かつて,副詞,9,过去的，曾经,
511,叶う,かなう,自動詞,9,实现,
512,予て,かねて,副詞,9,很早以前,
513,予め,あらかじめ,副詞,9,事先,
514,前もって,まえもって,副詞,9,提前,
515,事前に,じぜんに,副詞,9,事前,
516,とっくに,とっくに,副詞,9,早已,
517,庇う,かばう,他動詞,9,包庇，袒护,
518,加担,かたん,名詞/サ変,9,加担，支持,
519,担ぐ,かつぐ,他動詞,9,扛,
520,担う,になう,他動詞,9,担负,
521,かぶれる,かぶれる,自動詞,9,炎症；沉迷,
522,化粧品,けしょうひん,名詞,9,化妆品,
523,過疎化,かそか,名詞/サ変,9,过疏化,
524,近代化,きんだいか,名詞/サ変,9,近代化,
525,化学,かがく,名詞,9,化学,
526,すっかり,すっかり,副詞,9,完全,
527,しっかり,しっかり,副詞/サ変,9,踏实,
528,がっかり,がっかり,副詞/サ変,9,失望,
529,夢中,むちゅう,名詞/形容動詞,9,热衷,
530,耽る,ふける,自動詞,9,沉溺,
531,加味,かみ,名詞/サ変,9,加进，采纳,
532,加える,くわえる,他動詞,9,添加,
533,添える,そえる,他動詞,9,附加,
534,増える,ふえる,自動詞,9,增加,
535,増やす,ふやす,他動詞,9,增加,
536,増す,ます,自他動詞,9,增多,
537,味,あじ,名詞,9,味道,
538,味わう,あじわう,他動詞,9,品味,
539,趣味,しゅみ,名詞,9,兴趣,
540,体つき,からだつき,名詞,9,体形，身材,
541,目つき,めつき,名詞,9,眼神,
542,顔つき,かおつき,名詞,9,神态,
543,絡む,からむ,自動詞,9,找茬；密切相关,
544,義理,ぎり,名詞,9,人情,
545,危ぶむ,あやぶむ,他動詞,9,担心,
546,意気込む,いきごむ,自動詞,9,振奋,
547,嵩む,かさむ,自動詞,9,费用多,
548,霞む,かすむ,自動詞,9,模糊,
549,挑む,いどむ,自動詞,9,挑战,
550,否む,いなむ,他動詞,9,否定,
551,好む,このむ,他動詞,9,中意,
552,妬む,ねたむ,他動詞,9,嫉妒,
553,涸れる,かれる,自動詞,9,干涸；才尽,
554,材料,ざいりょう,名詞,9,材料,
555,木材,もくざい,名詞,9,木材,
556,才能,さいのう,名詞,9,才能,
557,枯れる,かれる,自動詞,9,干枯,
558,渇く,かわく,自動詞,9,渴,
559,乾く,かわく,自動詞,9,干,
560,かろうじて,かろうじて,副詞,9,好不容易才；险些,
561,逃れる,のがれる,自動詞,9,逃脱,
562,逃す,のがす,他動詞,9,错过,
563,やっと,やっと,副詞,9,终于,
564,ようやく,ようやく,副詞,9,好不容易,
565,何とか,なんとか,副詞,9,想方设法,
566,交わす,かわす,他動詞,9,相互交换（抽象）,
567,還元,かんげん,名詞/サ変,9,归还（利润、社会）,
568,返還,へんかん,名詞/サ変,9,归还（领土）,
569,領地,りょうち,名詞,9,领地,
570,返済,へんさい,名詞/サ変,9,还债,
571,返却,へんきゃく,名詞/サ変,9,还书、钱,
572,頑丈,がんじょう,形容動詞,9,健壮，强壮,
573,頑張る,がんばる,自動詞,9,加油,
574,がっしり,がっしり,副詞,9,强健,
575,しっかり,しっかり,副詞/サ変,9,稳固,
576,がっちり,がっちり,副詞/サ変,9,扎实,
577,丈夫,じょうぶ,名詞/形容動詞,9,坚固,
578,肝心,かんじん,名詞/形容動詞,9,重要，首要,
579,気を取られる,きをとられる,動詞句,9,被吸引注意力,
580,重要,じゅうよう,名詞/形容動詞,9,重要,
581,大事,だいじ,名詞/形容動詞,9,大事,
582,大切,たいせつ,名詞/形容動詞,9,重要,
583,見落とす,みおとす,他動詞,9,忽略,
584,見逃す,みのがす,他動詞,9,放过,
585,用心,ようじん,名詞/サ変,9,留神,
586,感心,かんしん,名詞/形容動詞/サ変,9,佩服,
587,完璧,かんぺき,名詞/形容動詞,9,完美,
588,寛容,かんよう,名詞/形容動詞,9,宽容,
589,臨む,のぞむ,自動詞,9,面临,
590,望む,のぞむ,他動詞,9,希望,
591,望ましい,のぞましい,形容詞,9,符合愿望的,
592,元来,がんらい,副詞,9,原来，本来,
593,元日,がんじつ,名詞,9,元旦,
594,元旦,がんたん,名詞,9,元旦,
595,貫禄,かんろく,名詞,9,尊严，威严,
596,習慣,しゅうかん,名詞,9,习惯,
597,記録,きろく,名詞/サ変,9,记录,
598,一貫,いっかん,名詞/サ変,9,一贯,
599,貫く,つらぬく,他動詞,9,贯彻,
600,着飾る,きかざる,他動詞,9,盛装打扮,
601,思い切り,おもいきり,副詞,9,尽情地,
602,着替える,きがえる,他動詞,9,换衣服,
603,気兼ね,きがね,名詞/サ変,9,顾虑，拘谨,
604,気軽,きがる,形容動詞,9,舒畅，爽快,
605,効き目,ききめ,名詞,9,效验，效力,
606,塩分,えんぶん,名詞,9,盐分,
607,近頃,ちかごろ,名詞/副詞,9,近来,
608,安定,あんてい,名詞/サ変,9,安定,
609,役目,やくめ,名詞,9,任务,
610,役に立つ,やくにたつ,動詞句,9,有用,
611,役割,やくわり,名詞,9,角色,
612,気障,きざ,名詞/形容動詞,9,装模做样，摆架子,
613,紳士,しんし,名詞,9,绅士,
614,振る舞い,ふるまい,名詞,9,举止,
615,障害,しょうがい,名詞,9,障碍,
616,兆し,きざし,名詞,9,兆头，征兆,
617,罪,つみ,名詞,9,罪,
618,兆す,きざす,自動詞,9,显露征兆,
619,兆候,ちょうこう,名詞,9,兆候,
620,築く,きずく,他動詞,9,建立，筑成,
621,新築,しんちく,名詞/サ変,9,新建筑,
622,構築,こうちく,名詞/サ変,9,构建,
623,建築,けんちく,名詞/サ変,9,建筑,
624,気立て,きだて,名詞,9,性情，脾气,
625,几帳面,きちょうめん,形容動詞,9,规规矩矩，一丝不苟,
626,口喧しい,くちやかましい,形容詞,9,唠叨,
627,喧しい,やかましい,形容詞,9,嘈杂,
628,真面目,まじめ,名詞/形容動詞,9,认真,
629,真剣,しんけん,名詞/形容動詞,9,认真,
630,生真面目,きまじめ,形容動詞,9,一本正经,
631,きっちり,きっちり,副詞,9,准时；严丝合缝,
632,きっかり,きっかり,副詞,9,恰好,
633,かっきり,かっきり,副詞,9,正好,
634,ぴったり,ぴったり,副詞/サ変,9,严实,
635,きっぱり,きっぱり,副詞,9,果断，斩钉截铁（拒绝）,
636,押し売り,おしうり,名詞/サ変,9,强行兜售,
637,さっぱり,さっぱり,副詞/サ変,9,清淡；爽快,
638,気品,きひん,名詞,9,品格，气度,
639,巧み,たくみ,名詞/形容動詞,9,巧妙,
640,気立て,きだて,名詞,9,性情,
641,気障,きざ,名詞/形容動詞,9,做作,
642,気柄,きがら,名詞,9,品格,
643,起伏,きふく,名詞/サ変,9,起伏，起落,
644,谷,たに,名詞,9,山谷,
645,企画,きかく,名詞/サ変,9,企划,
646,復習,ふくしゅう,名詞/サ変,9,复习,
647,気まぐれ,きまぐれ,名詞/形容動詞,9,心血来潮，反复无常,
648,生真面目,きまじめ,形容動詞,9,一本正经,
649,決まり悪い,きまりわるい,形容詞,9,不好意思，难为情,
650,モジモジ,もじもじ,副詞/サ変,9,蠕动，扭捏,
651,捩る,もじる,他動詞,9,扭歪,
652,恥ずかしい,はずかしい,形容詞,9,害羞,
653,照れくさい,てれくさい,形容詞,9,害羞,
654,くすぐったい,くすぐったい,形容詞,9,难为情,
655,照れる,てれる,自動詞,9,害羞,
656,華奢,きゃしゃ,形容動詞,9,苗条，纤细,
657,細い,ほそい,形容詞,9,细的,
658,細かい,こまかい,形容詞,9,细小的,
659,繊細,せんさい,形容動詞,9,细腻,
660,奢る,おごる,他動詞,9,奢侈；请客,
661,贅沢,ぜいたく,名詞/形容動詞,9,奢侈,
662,誘う,さそう,他動詞,9,邀请,
663,招待,しょうたい,名詞/サ変,9,招待,
664,脚本,きゃくほん,名詞,9,剧本,
665,水滴,すいてき,名詞,9,水滴,
666,究極,きゅうきょく,名詞,9,最终，极端,
667,納得,なっとく,名詞/サ変,9,领会,
668,研究,けんきゅう,名詞/サ変,9,研究,
669,積極,せっきょく,名詞,9,积极,
670,極める,きわめる,他動詞,9,达到极限,
671,窮屈,きゅうくつ,形容動詞,9,紧；拘束,
672,縮む,ちぢむ,自動詞,9,收缩,
673,きつい,きつい,形容詞,9,紧的,
674,だぶだぶ,だぶだぶ,副詞/形容動詞,9,肥大,
675,ぶかぶか,ぶかぶか,副詞/形容動詞,9,肥大,
676,窮地,きゅうち,名詞,9,困境,
677,退屈,たいくつ,名詞/形容動詞,9,无聊,
678,理屈,りくつ,名詞,9,道理,
679,発掘,はっくつ,名詞/サ変,9,发掘,
680,束縛,そくばく,名詞/サ変,9,束缚,
681,ゆとり,ゆとり,名詞,9,宽裕,
682,驚異,きょうい,名詞,9,惊异，惊奇,
683,警察,けいさつ,名詞,9,警察,
684,尊敬,そんけい,名詞/サ変,9,尊敬,
685,驚く,おどろく,自動詞,9,吃惊,
686,異なる,ことなる,自動詞,9,不同,
687,不思議,ふしぎ,名詞/形容動詞,9,不可思议,
688,呆れる,あきれる,自動詞,9,愕然,
689,びっくりする,びっくりする,サ変,9,大吃一惊,
690,仰天,ぎょうてん,名詞/サ変,9,惊天动地,
691,境遇,きょうぐう,名詞,9,环境，处境,
692,引き離す,ひきはなす,他動詞,9,拉开,
693,孤独,こどく,名詞/形容動詞,9,孤独,
694,極端,きょくたん,名詞/形容動詞,9,极端，过火,
695,積極,せっきょく,名詞,9,积极,
696,究極,きゅうきょく,名詞,9,究极,
697,清らか,きよらか,形容動詞,9,纯净，洁净,
698,瞳,ひとみ,名詞,9,瞳孔,
699,あどけない,あどけない,形容詞,9,天真,
700,無邪気,むじゃき,名詞/形容動詞,9,无邪,
701,清い,きよい,形容詞,9,清澈,
702,清々しい,すがすがしい,形容詞,9,清新,
703,綺羅びやか,きらびやか,形容動詞,9,华丽，绚丽夺目,
704,花嫁,はなよめ,名詞,9,新娘,
705,衣装,いしょう,名詞,9,衣装,
706,服装,ふくそう,名詞,9,服装,
707,華々しい,はなばなしい,形容詞,9,华丽,
708,煌めく,きらめく,自動詞,9,闪耀,
709,キラキラ,きらきら,副詞/サ変,9,一闪一闪,
710,輝く,かがやく,自動詞,9,辉煌,
711,賑わう,にぎわう,自動詞,9,热闹,
712,賑やか,にぎやか,形容動詞,9,热闹,
713,穏やか,おだやか,形容動詞,9,稳静,
714,爽やか,さわやか,形容動詞,9,爽朗,
715,切り替える,きりかえる,他動詞,9,转换，改换,
716,極めて,きわめて,副詞,9,极其，非常,
717,吟味,ぎんみ,名詞/サ変,9,斟酌，挑选,
718,禁物,きんもつ,名詞,9,切忌，禁忌,
719,漬物,つけもの,名詞,9,咸菜,
720,漬ける,つける,他動詞,9,浸泡,
721,薬漬け,くすりづけ,名詞,9,长期服药,
722,荷物,にもつ,名詞,9,行李,
723,作物,さくもつ,名詞,9,作物,
724,书物,しょもつ,名詞,9,书物,
725,食物,しょくもつ,名詞,9,食物,
726,動物,どうぶつ,名詞,9,动物,
727,植物,しょくぶつ,名詞,9,植物,
728,品物,しなもの,名詞,9,物品,
729,伪物,にせもの,名詞,9,伪造品,
730,食い違う,くいちがう,自動詞,9,不一致，有分歧,
731,合致,がっち,名詞/サ変,9,吻合,
732,擦れ違う,すれちがう,自動詞,9,擦肩而过,
733,行き違う,ゆきちがう,自動詞,9,错过,
734,くすぐったい,くすぐったい,形容詞,9,难为情,
735,决まり悪い,きまりわるい,形容詞,9,不好意思,
736,照れくさい,てれくさい,形容詞,9,害羞,
737,恥ずかしい,はずかしい,形容詞,9,可耻,
738,愚痴,ぐち,名詞,9,发牢骚，抱怨,
739,愚痴をこぼす,ぐちをこぼす,動詞句,9,发牢骚,
740,境遇,きょうぐう,名詞,9,境遇,
741,偶然,ぐうぜん,名詞/形容動詞/副詞,9,偶然,
742,知恵,ちえ,名詞,9,智慧,
743,不满,ふまん,名詞/形容動詞,9,不满,
744,不平,ふへい,名詞/形容動詞,9,不平,
745,文句,もんく,名詞,9,怨言,
746,苦情,くじょう,名詞,9,苦衷，抱怨,
747,口ずさむ,くちずさむ,他動詞,9,哼，吟，诵,
748,唱える,となえる,他動詞,9,诵，倡导,
749,朽ちる,くちる,自動詞,9,腐朽，衰败,
750,語る,かたる,他動詞,9,叙述,
751,継ぐ,つぐ,他動詞,9,继承,
752,語り継ぐ,かたりつぐ,他動詞,9,传颂,
753,腐る,くさる,自動詞,9,腐烂,
754,腐っても鯛,くさってもたい,慣用句,9,瘦死的骆驼比马大,
755,衰える,おとろえる,自動詞,9,衰落,
756,廃れる,すたれる,自動詞,9,废弛,
757,錆,さび,名詞,9,锈,
758,覆す,くつがえす,他動詞,9,推翻（抽象）,
759,定説,ていせつ,名詞,9,公认的说法,
760,覆う,おおう,他動詞,9,遮盖,
761,被る,かぶる,他動詞,9,覆盖,
762,窟,くつ,名詞,9,洞穴,
763,石窟,せっくつ,名詞,9,石窟,
764,くっきり,くっきり,副詞,9,清楚，显眼,
765,はっきり,はっきり,副詞/サ変,9,清楚,
766,屈折,くっせつ,名詞/サ変,9,歪曲；弯曲,
767,石窟,せっくつ,名詞,9,石窟,
768,穷屈,きゅうくつ,形容動詞,9,窄小,
769,ぐっと,ぐっと,副詞,9,一下子，一气的,
770,玄人,くろうと,名詞,9,内行，专家,
771,書道,しょうどう,名詞,9,书法,
772,腕前,うでまえ,名詞,9,才干,
773,素人,しろうと,名詞,9,外行,
774,軽率,けいそつ,名詞/形容動詞,9,轻率，草率,
775,汚らわしい,けがらわしい,形容詞,9,卑鄙，肮脏,
776,噂話,うわさばなし,名詞,9,闲话,
777,汚い,きたない,形容詞,9,脏,
778,汚れる,よごれる,自動詞,9,脏,
779,卑しい,いやしい,形容詞,9,卑贱,
780,げっそり,げっそり,副詞/サ変,9,消瘦；灰心,
781,落ち込む,おちこむ,自動詞,9,失落,
782,がっかり,がっかり,副詞/サ変,9,失望,
783,沈む,しずむ,自動詞,9,低落,
784,欠乏,けつぼう,名詞/サ変,9,缺乏，缺少,
785,贫乏,びんぼう,名詞/形容動詞,9,贫穷,
786,贫困,ひんこん,名詞/形容動詞,9,贫困,
787,不可欠,ふかけつ,名詞/形容動詞,9,不可缺少,
788,贫しい,まずしい,形容詞,9,贫苦,
789,乏しい,とぼしい,形容詞,9,乏味,
790,閉じる,とじる,自他動詞,9,关闭,
791,閉じ込める,とじこめる,他動詞,9,禁闭,
792,掛ける,かける,他動詞,9,悬挂,
793,架ける,かける,他動詞,9,架桥,
794,駆ける,かける,自動詞,9,奔跑,
795,赴く,おもむく,自動詞,9,奔赴,
796,赌ける,かける,他動詞,9,赌博,
797,追う,おう,他動詞,9,追赶,
798,蹴飛ばす,けとばす,他動詞,9,拒绝（踢飞）,
799,申し出,もうしで,名詞,9,提议,
800,蹴る,ける,他動詞,9,踢,
801,飛ばす,とばす,他動詞,9,飞,
802,断る,ことわる,他動詞,9,拒绝,
803,拒む,こばむ,他動詞,9,阻拦,
804,贬す,けなす,他動詞,9,贬低，贬斥,
805,気に入り,きにいり,名詞,9,喜欢,
806,贬める,おとしめる,他動詞,9,蔑视,
807,軽蔑,けいべつ,名詞/サ変,9,轻蔑,
808,見下ろす,みおろす,他動詞,9,俯视,
809,舐める,なめる,他動詞,9,舔；轻视,
810,健在,けんざい,名詞/形容動詞,9,健在,
811,健全,けんぜん,名詞/形容動詞,9,身心健全,
812,肉体,にくたい,名詞,9,肉体,
813,兼ね備える,かねそなえる,他動詞,9,兼备,
814,見地,けんち,名詞,9,观点，立场,
815,検知,けんち,名詞/サ変,9,检测,
816,見解,けんかい,名詞,9,见解,
817,見当,けんとう,名詞/サ変,9,推测,
818,見当がつく,けんとうがつく,動詞句,9,猜到,
819,見境,みさかい,名詞,9,见地,
820,厳密,げんみつ,名詞/形容動詞,9,严密，周密,
821,賢明,けんめい,名詞/形容動詞,9,明智，高明,
822,好意,こうい,名詞,9,好感，美意,
823,密か,ひそか,形容動詞,9,秘密,
824,愛想,あいそう,名詞,9,热情,
825,慕う,したう,他動詞,9,爱慕,
826,好況,こうきょう,名詞,9,繁荣，景气,
827,兆し,きざし,名詞,9,兆头,
828,景気,けいき,名詞,9,景气,
829,控除,こうじょ,名詞/サ変,9,扣除,
830,扶養控除,ふようこうじょ,名詞,9,扶养扣除,
831,受ける,うける,他動詞,9,获得,
832,受けられる,うけられる,動詞(可能),9,可以获得,
833,排除,はいじょ,名詞/サ変,9,排除,
834,削除,さくじょ,名詞/サ変,9,删除,
835,免除,めんじょ,名詞/サ変,9,免除,
836,向上,こうじょう,名詞/サ変,9,向上,
837,除く,のぞく,他動詞,9,除外,
838,覗く,のぞく,他動詞,9,窥视,
839,高尚,こうしょう,名詞/形容動詞,9,高雅，高深,
840,鑑賞,かんしょう,名詞/サ変,9,鉴赏,
841,演奏,えんそう,名詞/サ変,9,演奏,
842,実に,じつに,副詞,9,实在,
843,巧妙,こうみょう,形容動詞,9,巧妙（多指手段）,
844,诈欺师,さぎし,名詞,9,诈骗犯,
845,手口,てぐち,名詞,9,做法,
846,奇妙,きみょう,名詞/形容動詞,9,奇妙,
847,不思議,ふしぎ,名詞/形容動詞,9,不可思议,
848,微妙,びみょう,名詞/形容動詞,9,微妙,
849,巧み,たくみ,名詞/形容動詞,9,巧妙,
850,器用,きよう,名詞/形容動詞,9,手巧,
851,心地,ここち,名詞,9,感觉,
852,心地がする,ここちがする,動詞句,9,产生感觉,
853,寝心地,ねごこち,名詞,9,睡眠舒适感,
854,居心地,いごこち,名詞,9,居留舒适感,
855,心得,こころえ,名詞,9,经验，心得,
856,失格,しっかく,名詞/サ変,9,不合格,
857,心がける,こころがける,他動詞,9,注意，留心,
858,普段,ふだん,名詞/副詞,9,平常,
859,志す,こころざす,他動詞,9,立志，志向,
860,目指す,めざす,他動詞,9,以...为目标,
861,狙う,ねらう,他動詞,9,瞄准,
862,憧れる,あこがれる,自動詞,9,向往,
863,心強い,こころづよい,形容詞,9,放心，有底,
864,味方,みかた,名詞,9,盟友,
865,見方,みかた,名詞,9,看法,
866,心细い,こころぼそい,形容詞,9,心里没底,
867,心構え,こころがまえ,名詞,9,心理准备,
868,心当たり,こころあたり,名詞,9,线索,
869,心配,しんぱい,名詞/形容動詞/サ変,9,担心,
870,心配り,こころくばり,名詞/サ変,9,关怀,
871,心遣い,こころづかい,名詞/サ変,9,关照,
872,試みる,こころみる,他動詞,9,尝试,
873,試す,ためす,他動詞,9,试图,
874,試しに,ためしに,副詞,9,试着,
875,快い,こころよい,形容詞,9,惬意；爽快,
876,夕方,ゆうかた,名詞,9,傍晚,
877,頬,ほお,名詞,9,脸颊,
878,愉快,ゆかい,名詞/形容動詞,9,愉快,
879,潔く,いさぎよく,副詞/形容詞,9,干脆,
880,きっぱり,きっぱり,副詞,9,果断,
881,拗れる,こじれる,自動詞,9,复杂化；别扭,
882,手がつけられない,てがつっけられない,動詞句,9,束手无策,
883,拘る,こだわる,自動詞,9,拘泥，执着,
884,拘り,こだわり,名詞,9,执着,
885,执着,しゅうちゃく,名詞/サ変,9,执着,
886,执念,しゅうねん,名詞,9,执念,
887,しつこい,しつこい,形容詞,9,顽固的,
888,夸张,こちょう,名詞/サ変,9,夸张，夸大,
889,夸る,ほこる,自他動詞,9,夸耀,
890,夸りを持つ,ほこりをもつ,動詞句,9,引以为荣,
891,大袈裟,おおげさ,形容動詞,9,夸张,
892,大仰,おおぎょう,名詞/形容動詞,9,浮夸,
893,手柄,てがら,名詞,9,功劳,
894,こつ,こつ,名詞,9,秘诀，窍门,
895,顺利,じゅんちょう,名詞/形容動詞,9,顺利,
896,要领,ようりょう,名詞,9,要领,
897,コツコツ,こつこつ,副詞/サ変,9,孜孜不倦,
898,せっせと,せっせと,副詞,9,勤勉地,
899,滑稽,こっけい,名詞/形容動詞,9,滑稽，诙谐,
900,手入れ,ていれ,名詞/サ変,9,保养,
901,可笑しい,おかしい,形容詞,9,可笑,
902,圆滑,えんかつ,形容動詞,9,圆滑,
903,尽く,ことごとく,副詞,9,一切，全部,
904,すっかり,すっかり,副詞,9,完全,
905,そっくり,そっくり,副詞/形容動詞,9,全部,
906,オール,おーる,名詞,9,全部,
907,殊に,ことに,副詞,9,格外，尤其,
908,冷える,ひえる,自動詞,9,变冷,
909,冷え込み,ひえこみ,名詞,9,气温骤降,
910,格別,かくべつ,名詞/副詞/形容動詞,9,格外,
911,取り分け,とりわけ,副詞,9,格外,
912,格段,かくだん,名詞/副詞/形容動詞,9,特别,
913,特别,とくに,副詞,9,特别,
914,特别,とくべつ,名詞/副詞/形容動詞,9,特别,
915,とっくに,とっくに,副詞,9,早就,
916,事によると,ことによると,副詞,9,或许，不一定,
917,もしかしたら,もしかしたら,副詞,9,也许,
918,ひょっとしたら,ひょっとしたら,副詞,9,或许,
919,好ましい,このましい,形容詞,9,可喜的，令人满意的,
920,好む,このむ,他動詞,9,好，中意,
921,望ましい,のぞましい,形容詞,9,希求,
922,気に入る,きにいる,動詞句,9,中意,
923,误魔化す,ごまかす,他動詞,9,敷衍；作假,
924,伪る,いつわる,他動詞,9,欺骗,
925,诈欺,さぎ,名詞,9,诈骗,
926,欺く,あざむく,他動詞,9,欺瞒,
927,骗す,だます,他動詞,9,骗人,
928,细やか,こまやか,形容動詞,9,细致；浓厚,
929,人情,にんじょう,名詞,9,人情,
930,细かい,こまかい,形容詞,9,细小,
931,笼もる,こもる,自動詞,9,充满；闭门不出,
932,凝らす,こらす,他動詞,9,凝神，集中,
933,覗く,のぞく,他動詞,9,窥视,
934,水面下,すいめんか,名詞,9,水面下,
935,工夫を凝らす,くふうをこらす,動詞句,9,开动脑筋,
936,睨む,にらむ,他動詞,9,怒目,
937,凝る,こる,自動詞,9,热衷；肩酸,
938,热中,ねっちゅう,名詞/サ変,9,热衷,
939,梦中,むちゅう,名詞/形容動詞,9,热衷,
940,根気,こんき,名詞,9,耐性，耐心,
941,粘る,ねばる,自動詞,9,坚持,
942,根性,こんじょう,名詞,9,本性,
943,細工,さいく,名詞/サ変,9,工艺，精细活,
944,工場,こうじょう,名詞,9,工厂,
945,工夫,くふう,名詞/サ変,9,工夫,
946,遮る,さえぎる,他動詞,9,遮拦，打断,
947,口論,くちろん,名詞/サ変,9,口角,
948,妨げる,さまたげる,他動詞,9,妨碍,
949,狭める,せばめる,他動詞,9,变窄,
950,隔てる,へだてる,他動詞,9,隔开,
951,隔たる,へだたる,自動詞,9,相隔,
952,冴える,さえる,自動詞,9,清爽；纯熟；鲜明,
953,はっきり,はっきり,副詞/サ変,9,清楚,
954,鮮やか,あざやか,形容動詞,9,鲜明,
955,澄む,すむ,自動詞,9,清澈,
956,指図,さしず,名詞/サ変,9,指示，吩咐,
957,まとめる,まとめる,他動詞,9,汇总,
958,指示,しじ,名詞/サ変,9,指示,
959,命令,めいれい,名詞/サ変,9,命令,
960,言いつけ,いいつけ,名詞,9,吩咐,
961,意図,いと,名詞/サ変,9,意图,
962,指摘,してき,名詞/サ変,9,指出,
963,示す,しめす,他動詞,9,表明,
964,差し支える,さしつかえる,自動詞,9,妨碍，有影响,
965,差し支えなければ,さしつかえなければ,連語/慣用句,9,如果不介意,
966,差し合う,さしあう,自動詞,9,妨碍,
967,障る,さわる,自動詞,9,妨碍,
968,妨げる,さまたげる,他動詞,9,妨碍,
969,阻む,はばむ,他動詞,9,阻止,
970,遮る,さえぎる,他動詞,9,遮断,
971,さぞ,さぞ,副詞,9,想必，一定是,
972,きっと,きっと,副詞,9,一定,
973,間違いなく,まちがいなく,副詞,9,没错,
974,嘸かし,さぞかし,副詞,9,想必,
975,定めし,さだめし,副詞,9,想必,
976,定まる,さだまる,自動詞,9,稳定；决定,
977,定める,さだめる,他動詞,9,决定,
978,雑,ざつ,名詞/形容動詞,9,草率，粗枝大叶,
979,雑誌,ざっし,名詞,9,杂志,
980,複雑,ふくざつ,名詞/形容動詞,9,复杂,
981,いい加減,いいかげん,形容動詞/副詞,9,敷衍,
982,大雑把,おおざっぱ,形容動詞,9,草率,
983,察する,さっする,他動詞/サ変,9,推测；体谅,
984,言葉をかける,ことばをかける,動詞句,9,打招呼,
985,警察,けいさつ,名詞,9,警察,
986,観察,かんさつ,名詞/サ変,9,观察,
987,推し量る,おしはかる,他動詞,9,揣测,
988,思いやる,おもいやる,他動詞,9,体谅,
989,さっと,さっと,副詞,9,快速,
990,ぐっと,ぐっと,副詞,9,猛地,
991,さっぱり,さっぱり,副詞/サ変,9,清爽；清淡；糟糕；完全,
992,きっぱり,きっぱり,副詞,9,果断,
993,さほど,さほど,副詞,9,并不那么,
994,それほど,それほど,副詞,9,并不那么,
995,対して,たいして,副詞,9,并不太,
996,大したことがない,たいしたことがない,慣用句/形容詞句,9,没什么了不起,
997,サボる,さぼる,自動詞,9,怠工，偷懒,
998,障る,さわる,自動詞,9,得罪；妨碍；伤害健康,
999,いちいち,いちいち,副詞,9,一件件,
1000,夜ふかし,よふかし,名詞/サ変,9,熬夜,
1001,触る,さわる,自動詞,9,触摸,
1002,触れる,ふれる,自動詞,9,接触,
1003,妨げる,さまたげる,他動詞,9,妨碍,
1004,差し支える,さしつかえる,自動詞,9,妨碍,
1005,差し合う,さしあう,自動詞,9,矛盾,
1006,遮る,さえぎる,他動詞,9,遮断,
1007,阻む,はばむ,他動詞,9,阻拦,
1008,障害,しょうがい,名詞,9,障碍,
1009,気障,きざ,名詞/形容動詞,9,做作,
1010,仕上がり,しあがり,名詞,9,完成情况,
1011,仕上げる,しあげる,他動詞,9,完成,
1012,仕上げ,しあげ,名詞,9,作完的结果,
1013,成り遂げる,なりとげる,他動詞,9,完成，做成,
1014,出来上がる,できあがる,自動詞,9,做成,
1015,強いて,しいて,副詞,9,勉强，逼迫,
1016,強いる,しいる,他動詞,9,强迫,
1017,無理,むり,名詞/形容動詞,9,勉强,
1018,強引,ごういん,形容動詞,9,强行,
1019,強いる,しいる,他動詞,9,强迫,
1020,仕入れる,しいれる,他動詞,9,购入；获得信息,
1021,仕掛ける,しかける,他動詞,9,设置；主动做；开始,
1022,仕切る,しきる,他動詞,9,主持，掌管；隔开,
1023,しくじる,しくじる,他動詞,9,失败，失策,
1024,万全,ばんぜん,名詞/形容動詞,9,万全,
1025,臨む,のぞむ,自動詞,9,面临,
1026,仕組み,しくみ,名詞,9,构成，结构,
1027,仕送り,しおくり,名詞/サ変,9,寄生活费,
1028,自在,じざい,名詞/形容動詞,9,自由自在,
1029,下心,したごころ,名詞,9,用心，企图,
1030,見抜く,みぬく,他動詞,9,看穿,
1031,下地,したじ,名詞,9,基础，素质,
1032,上達,じょうたつ,名詞/サ変,9,进步,
1033,土地,とち,名詞,9,土地,
1034,地元,じもと,名詞,9,本地,
1035,生地,きじ,名詞,9,质地,
1036,地震,じしん,名詞,9,地震,
1037,下調べ,したしらべ,名詞/サ変,9,预习，调查,
1038,入念,にゅうねん,形容動詞,9,仔细,
1039,丁寧,ていねい,形容動詞,9,郑重,
1040,断念,だんねん,名詞/サ変,9,死心,
1041,諦める,あきらめる,他動詞,9,放弃,
1042,放棄,ほうき,名詞/サ変,9,放弃,
1043,決意,けつい,名詞/サ変,9,决意,
1044,執念,しゅうねん,名詞,9,执念,
1045,拘り,こだわり,名詞,9,执着,
1046,懸念,けねん,名詞/サ変,9,忧虑,
1047,心配,しんぱい,名詞/形容動詞/サ変,9,担心,
1048,安心,あんしん,名詞/形容動詞/サ変,9,安心,
1049,楽観,らっかん,名詞/サ変,9,乐观,
1050,無念,むねん,名詞/形容動詞,9,懊悔,
1051,悔しい,くやしい,形容詞,9,懊悔,
1052,残念,ざんねん,名詞/形容動詞,9,遗憾,
1053,満足,まんぞく,名詞/形容動詞/サ変,9,满足,
